name|numLocations|type|address|website|state|brewery_id
Arrowhead Brewing Company|1|Microbrewery|1667 Orchard Drive, Chambersberg, Pennsylvania, 17201|http://arrowheadbrewing.com/|pennsylvania|28084
Artful Dodger Brewing Company, LLC|1|ContractBrewery|1504 W St. Andrews St., Midland, Michigan|-|michigan|28085
Asher Brewing Co.|1|Mircobrewery|4699 Nautilus Ct. Ste. 104, Boulder, Colorado, 80301|-|colorado|28086
Asheville Brewing (2006)|1|Microbrewery|77 Coxe Ave, Asheville, North Carolina, 28801|www.ashevillepizza.com|north-carolina|28087
Asheville Pizza & Brewing|1|Brewpub|675 Merrimon, Asheville, North Carolina, 28804|http://www.ashevillepizza.com/|north-carolina|28088
Assets Grille & Brewing|1|Brewpub|6910 Montgomery Blvd. N.E., Albuquerque, New Mexico, 87109|http://www.highfiber.com/~assets/grille.html|new-mexico|28089
Astoria Brewing Co/Wet Dog Cafe|1|Brewpub|144 11th St., Astoria, Oregon, 97103|-|oregon|28090
Athens Brewing Co.|1|Brewpub|312 E. Washington St., Athens, Georgia, 30601|-|georgia|28091
Atlanta BeerGarten|1|Brewpub|3013 Peachtree Rd., Atlanta, Georgia, 30305|-|georgia|28092
Atlanta Brewing Co|2|Microbrewery|1219 Williams St. NW, Atlanta, Georgia, 30309|http://www.atlantabrewing.com/|georgia|28093
Atlantic Brewing Co.|1|Brewpub|15 Knox Rd, Bar Harbor, Maine, 4609|http://www.atlanticbrewing.com/|maine|28094
Atlantic Brewing Company|1|Microbrewery|P.O. Box 1021, Brigantine, New Jersey, 8203|http://www.atlanticbrewing.com/|new-jersey|378
Atlantic Brewing Company (NY)|1|Brewpub-Closed|4556 Austin Blvd., Island Park, New York, 11558|-|new-york|28096
Atlantic Coast Brewing Ltd.|1|Microbrewery|50 Terminal St., Boston, Massachusetts, 2129|-|massachusetts|28097
Atlantis Brewing Company|1|ContractBrewery|375 E. 55th Ave., Denver, Colorado, 80237|http://rainbow.rmi.net/~jhicks/ales/|colorado|28098
Atomic Ale Brewpub and Eatery|1|Brewpub|1015 Lee Blvd, Richland, Washington, 99352|-|washington|28099
Atwater Block Brewing Co|1|Microbrewery|237 Joseph Campau St, Detroit, Michigan, 48207|http://www.atwaterbeer.com/|michigan|28100
Auburn Ale House|1|Brewpub|289 Washington Street, Auburn, California, 95603|http://www.auburnalehouse.com/|california|28101
Augsburger Brewing Co.|1|Brewpub|707 E. Minnehaha, St. Paul, Minnesota, 55106|-|minnesota|28102
August Brewing Co.|1|ContractBrewery|743 Bearbien, Detroit, Michigan, 48226|http://www.schellsbrewery.com/|michigan|28103
August Schell Brewing Co.|1|Microbrewery|Schell's Park, New Ulm, Minnesota, 56073|http://www.schellsbrewery.com/|minnesota|28104
Augusta Brewing Co.|1|Microbrewery|5521 Water St., Augusta, Missouri, 63332|http://www.augustabrewing.com/|missouri|28105
Avery Brewing Company|1|Microbrewery|5763 E. Arapahoe Ave #E, Boulder, Colorado, 80303|http://www.averybrewing.com/|colorado|30
Aviator Ales Brewery|1|Microbrewery-Closed|14655 Woodinville/Redmond Rd NE, Woodinville, Washington, 98072|-|washington|28107
B. Moloch, The Heathman Bakery & Pub|1|Brewpub-Closed|901 SW Salmon, Portland, Oregon, 97205|-|oregon|28108
B.F. Coleman Brewing|1|Microbrewery|4 South Cascade Ave., Colorado Springs, Colorado, 80903|-|colorado|28109
BBQ Iguana|1|Brewpub|Box 1526, Arlington, Virginia|-|virginia|28110
BJ's Pizza & Grill|1|Brewpub|1600 Coburg Rd. #4, Eugene, Oregon, 97401|-|oregon|28111
BJ's Pizza, Grill & Brewery (Jantzen Beach)|1|Brewpub|12105 N. Center Ave., Portland, Oregon, 97217|http://www.bjsrestaurants.com/|oregon|28112
BJ's Pizza, Grill & Brewery (Lloyd Center)|1|Brewpub|825 NE Weidler St., Portland, Oregon, 97232|-|oregon|28113
BJ's Rest. & Brewery|1|Microbrewery|1200 Roseville Pkwy., Roseville, California, 95678|http://www.bjsbrewhouse.com/|california|28114
BJ's Restaurant & Brewery|25|Brewpub|200 Main St., Huntington Beach, California, 92648|http://www.bjsbrewhouse.com/|california|2711
BJ's Restaurant & Brewery (Belmont Shore)|1|Brewpub|5258 E. 2nd St., Long Beach, California, 90803|http://www.bjsbrewhouse.com/|california|28116
BJ's Restaurant & Brewery - Reno|1|Microbrewery|13999 S Virginia , Reno, Nevada, 89511|http://www.bjsbrewhouse.com/|nevada|28117
BJ's Restaurant & Brewery Southcenter|1|Brewpub|1159 Southcenter Mall, Tukwila, Washington, 98188|www.bjsrestaurants.com|washington|28118
BJ's Restaurant & Brewery-Boulder|1|Brewpub|1125 Pearl St, Boulder, Colorado, 80302|http://www.bjsrestaurants.com/|colorado|28119
BJs Restaurant & Brewery - Chandler|1|Brewpub|3155 W. Chandler Blvd., Chandler, Arizona, 85226|http://www.bjsbrewhouse.com/|arizona|28120
Babe's Bar-B-Que & Brewery|1|Brewpub|71800 Hwy. 111 Suite A-176, Rancho Mirage, California, 92772|-|california|28121
Back Alley Brewing Co.|1|Microbrewery|3200 N. Stone Ave., Colorado Springs, Colorado, 80907|-|colorado|28122
Back Bay Brewing Co.|1|Brewpub-Closed|755 Boylston St., Boston, Massachusetts, 2130|-|massachusetts|28123
Back Forty Beer Co|1|Contract|200 N. 6th St., Gadsden, Alabama, 35901|http://backfortybeer.com/|alabama|28124
Back Road Brewing Co|1|Microbrewery|1315 Michigan Ave., LaPorte, Indiana, 46350|http://www.backroadbrewery.com/|indiana|28125
Back Street Brewery/Lamppost Pizza|11|Microbrewery|15 Main St. Suite 100, Vista, California, 92084|http://www.lamppostpizza.com/backstreet/index.html|california|28126
Backcountry Brewery|1|Brewpub|720 Main St., Frisco, Colorado, 80443|http://www.backcountrybrewery.com/|colorado|28127
Backstage Brewing Co.|1|Microbrewery|Clemmons, North Carolina, 27012|http://home.triad.rr.com/beerhunter/|north-carolina|28128
Backwater Brewing Co.|1|Brewpub|1429 W. Service Dr., Winona, Minnesota, 55987|http://www.westgatewellingtons.com/|minnesota|28129
Bad Frog Brewery Company|1|ContractBrewery|2644 M-33 N., Rose City, Michigan, 48654|http://www.thewild.com/badfrog/|michigan|28130
Badlands Brewing Co|1|Microbrewery|PO Box 3722, Rapid City, South Dakota, 57709|http://www.badlandsbrew.com/|south-dakota|28131
Bagdad Cafe & Theatre|1|Brewpub|3702 SE Hawthorne, Portland, Oregon, 97214|http://www.mcmenaminspubs.com/|oregon|28132
Baked & Brewed in Telluride|1|Brewpub-Closed|127 South Fir St., Telluride, Colorado, 81435|-|colorado|28133
Ballast Point Brewing Company|1|Microbrewery|10051 Old Grove Rd., Ste. B, San Diego, California, 92131|http://www.ballastpoint.com/|california|199
Baltimore - Washington Beer Works|1|ContractBrewery|PO Box 9829, Baltimore, Maryland, 21284|http://www.ravenbrew.com/|maryland|28135
Baltimore Brewing Company|1|Microbrewery|104 Albemarle St., Baltimore, Maryland, 21202|http://www.degroens.com/|maryland|899
Bandana Brewery, The|1|Brewpub|302 N Plainview Ave., Mankato, Minnesota, 56001|http://www.bandanabrewery.com/|minnesota|28137
Bandersnatch Brewpub|1|Brewpub|125 East Fifth Ave., Tempe, Arizona, 85281|http://www.bandersnatchpub.com/|arizona|2959
Bandon Brewing Co.|1|Microbrewery|55347 Melton Rd., Bandon, Oregon, 97411|-|oregon|28139
Bandwagon Brewing Co|1|Brewpub|114 N Cayuga St. Ste 3, Ithaca, New York, 14850|http://www.bandwagonbeer.com/|new-york|28140
Bank Brewing Company|1|Microbrewery-Closed|201 Central Ave., Coos Bay, Oregon, 97420|-|oregon|28141
Bank Draft Brewing Co.|1|Brewpub-Closed|2424 Dunstan, Houston, Texas, 77005|-|texas|28142
Bar Harbor Brewing Company|1|Microbrewery|135 Otter Creek Dr., Bar Harbor, Maine, 4609|http://www.barharborbrewing.com/|maine|347
Bardo Rodeo|1|Brewpub-Closed|2000 Wilson Blvd., Arlington, Virginia, 22201|-|virginia|28144
Bare Bones Grill & Brewery|1|Brewpub|9150 Baltimore National Turnpike, Ellicott City, Maryland, 21402|http://www.barebonesgrill.com/|maryland|1953
Barley And Hops Grill|1|Brewpub|5473 Urbana Pike, Frederick, Maryland, 21702|http://www.barleyandhops.net/|maryland|28146
Barley Brothers Brewery|1|Brewpub|1425 McCulloch Blvd., Lake Havasu City, Arizona, 86403|http://www.barleybrothers.com/|arizona|28147
Barley Browns Brewpub|1|Brewpub|2190 Main St., Baker City, Oregon, 97814|http://www.barleybrowns.com/|oregon|28148
Barley Creek Brewing Co.|1|Brewpub|Sullivan Trail & Camelback Rd., Tannersville, Pennsylvania, 18372|http://www.barleycreek.com/|pennsylvania|28149
Barley Island Brewing Co|1|Brewpub|639 Conner St, Noblesville, Indiana, 46060|http://barleyisland.tripod.com/index.htm|indiana|28150
Barley Johns Brewpub|1|Brewpub|781 Old Hwy 8 SW, New Brighton, Minnesota, 55112|http://www.barleyjohns.com/|minnesota|28151
Barley Mill Pub (McMenamins)|1|Brewpub|1629 SE Hawthorne, Portland, Oregon, 97214|http://www.mcmenaminspubs.com/|oregon|28152
Barley's|1|Brewpub|801 S. Kansas Ave., Topeka, Kansas, 66612|-|kansas|28153
Barley's Brewpub|1|Brewpub|25 W. Washington St., Greenville, South Carolina, 29601|http://www.barleystaproom.com/greenville/|south-carolina|28154
Barley's Casino & Brewing Co.|1|Brewpub|4500 E. Sunset Rd. #30, Henderson , Nevada, 89014|http://wildfire.sclv.com/barleys|nevada|2305
Barley's Smokehouse & Brewpub|1|Brewpub|467 N. High St., Columbus, Ohio, 43215|http://www.barleysbrewing.com/|ohio|28156
Barley's Smokehouse & Brewpub (No. 2)|1|Brewpub|1130 Dublin Rd., Columbus, Ohio, 43215|http://www.barleysbrewing.com/|ohio|28157
Barleyfield Brewing Company|1|Microbrewery|1143 E. 33rd Pl., Tulsa, Oklahoma, 74105|-|oklahoma|28158
Baron Brewing Co|1|Microbrewery|1605 S 93rd St, Bldg E, Unit L, Seattle, Washington, 98108|http://www.baronbeer.com/|washington|28159
BarrelHouse Brewing Company/Heritage Brewing Co.|1|Brewpub|544 West Liberty St., Cincinnati, Ohio, 45214|http://www.barrelhouse.com/|ohio|28160
Barrington Brewery & Restaurant|1|Brewpub|420 Stockbridge Rd., Great Barrington, Massachusetts, 1230|http://www.barringtonbrewery.com/|massachusetts|230
Barrio Brewing Co|1|Microbrewery|800 E 16th St, Tuscon, Arizona, 85719|http://www.barriobrewing.com/|arizona|28162
Basil T's Brewpub & Italian Grill|1|Brewpub|183 Riverside Ave., Red Bank, New Jersey, 7001|http://www.basilt.com/|new-jersey|28163
Basil T's Brewpub & Italian Grill - Tom's River|1|Brewpub|1171 Hooper Ave., Tom's River, New Jersey, 8753|http://www.basilt.com/|new-jersey|28164
Bastone|1|Brewpub|419 South Main St., Royal Oak, Michigan, 48067|http://www.michiganmenu.com/|michigan|9617
Bat Creek Brewery|1|Mircobrewery|4 West Main Street, Bowling Green, Missouri, 63334|http://www.batcreekbrewery.com|missouri|25865
Battered Boar Brewing Co|1|Microbrewery|PO Box 6652, Edmond, Oklahoma, 73083|http://www.batteredboar.com/|oklahoma|28167
Bavarian Barbarian Brewing Co.|1|Microbrewery|429 W 3rd St., Williamsport, Pennsylvania, 17701|http://www.bavarianbarbarian.com/|pennsylvania|28168
Bay Brewery|1|Microbrewery|730 Todville Rd., Seabrook, Texas, 77586|http://www.brewerybay.com/|texas|28169
Bayern Brewing, Inc.|1|Brewpub|1507 Montana St., Missoula, Montana, 59807|http://www.bayernbrewery.com/|montana|605
Bayhawk Ales|1|Microbrewery|2000 Main St. Suite A, Irvine, California, 92614|http://www.bayhawkales.com/|california|2651
Bayou State Brewing Co.|1|Microbrewery|5005 W. 117th St., Leawood, Kansas, 66211|-|kansas|28172
Bayou Teche Brewery|1|Mircobrewery|1106 Bushville Hwy, Arnaudville, Louisiana, 70512|http://www.bayoutechebrewing.blogspot.com/|louisiana|22408
Beach Brewing Company|1|Brewpub|5905 S. Kirkman Rd., Orlando, Florida, 32819|http://www.nbbrewco.com/|florida|24454
Beach Chalet Brewing Co.|1|Brewpub|1000 Great Highway, San Francisco, California, 94121|http://www.beachchalet.com/|california|28175
Beach House Brewery|1|Brewpub|7536 Fay Ave., La Jolla, California, 92037|http://www.lajollabrewhouse.com/|california|28176
Bear Brewpub|1|Brewpub|36 Main St., Orono, Maine, 4473|-|maine|28177
Bear Republic Brewing Co - Production Facility|1|Microbrewery|110 Sand Holm Lane, Cloverdale, Washington, 95425|http://bearrepublic.com/healdsburg_news_2006.php|washington|28178
Bear Republic Brewing Company|1|Brewpub|345 Healdsburg Ave., Healdsburg, California, 95448|http://www.bearrepublic.com/|california|28179
Beargrass Brewing & U-Brew|1|Microbrewery|602 Myrtle St., Missoula, Montana, 59801|-|montana|28180
Beartooth Brewing Company|1|ContractBrewery|1113 Spruce St., Boulder, Colorado, 80306|-|colorado|28181
Beaver Creek Brewery|1|Microbrewery|PO Box 196, Wilbaux, Montana, 59353|-|montana|18383
Beaver Street Brewery & Whistle Stop Café|1|Brewpub|11 S. Beaver St., #1, Flagstaff, Arizona, 86001|http://www.beaverstreetbrewery.com/|arizona|28183
Becks Sports Bar & Grill|1|Brewpub|3295 University Ave, Waterloo, Iowa, 50701|http://www.barmuda.com/becks/|iowa|28184
Bee Creek Brewery|1|Mircobrewery|P.O. Box 515, Brazil, Indiana, 47834|http://www.beecreekbrewery.com/|indiana|21442
Beer Valley Brewing Co.|1|Microbrewery|937 SE 12th Ave., Ontario, Oregon, 97914|http://www.beervalleybrewing.com/index.shtml|oregon|14984
Bell's Brewing Co, Inc.|2|RegionalBrewery|8938 Krum Ave., Galesburg, Michigan, 49053|http://www.bellsbeer.com/|michigan|28187
Belle Island Restaurant & Brewing Co.|1|Brewpub|1900 NWEXPWY, Ste. 44, Oklahoma City, Oklahoma, 73118|http://www.okclive.com/belleisle|oklahoma|28188
Bellevue Brewing Co|1|Microbrewery|Bellevue, Washington|http://bellevuebrewing.com/|washington|28189
Bellfast Bay Brewing Co.|1|Brewpub|100 Searsport Ave., Bellfast, Maine, 4915|http://www.belfastbaybrewing.com/|maine|28190
Bellows Brew Crew|1|Brewpub-Closed|201 E Main St., Watertown, Wisconsin, 53904|-|wisconsin|28191
Belltower Brewhouse|1|Brewpub|707 SE 164th Ave., Vancouver , Washington|-|washington|28192
Belmar Ave. Brewery|1|Microbrewery|Belmar Ave., Ocean Township, New Jersey|-|new-jersey|28193
Belmont Brewing Co.|1|Brewpub|25 39th Pl., Long Beach, California, 90803|http://www.belmontbrewing.com/|california|28194
Ben's Brewing Co|1|Brewpub-Closed|222 W 3rd St., Yankton, South Dakota, 57078|http://www.bensbrewing.com/|south-dakota|28195
Benchmark Brewing Company|1|Microbrewery|111 S. Murphy Ave., Sunnyvale, California, 94086|http://www.benchmarkbrewing.com/Benchmark_Brewing_Company/ENTRY.html|california|28196
Bend Brewing Co.|1|Brewpub|1019 NW Brook St., Bend, Oregon, 97701|http://www.bendbrewingco.com/|oregon|28197
Bennington Brewers, Ltd.|1|Microbrewery|190 North Street, Bennington, Vermont, 5201|http://www.sover.net/~bennbrew/|vermont|28198
Benson Brewery|1|Brewpub|6059 MAPLE STREET, Omaha, Nebraska, 68104|http://www.bensonbrewery.com/|nebraska|28199
Bent River Breing Co|1|Brewpub|1413 5th Ave, Moline, Illinois, 61265|http://www.bentriverbrewery.com/|illinois|28200
Bent Willy's Brewing|1|Brewpub|471 Chestnut St., Morgantown, West Virginia, 26505|-|west-virginia|28201
Berkshire Brewing Company|1|Microbrewery|12 Railroad St., South Deerfield, Massachusetts, 1373|http://www.berkshirebrewingcompany.com/|massachusetts|28202
Bernardsville Stone Tavern & Brewery|1|Brewpub|1 Mill St., Bernardsville, New Jersey, 7924|-|new-jersey|28203
Bertrams Salmon Valley Brewery|1|Brewpub|101 S Andrews St, Salmon, Idaho, 83467|http://bertramsbrewery.com/|idaho|28204
Berwick Brewing Co.|1|Microbrewery|105 Wild Rose Ln., South Berwick, Maine, 3908|-|maine|28205
Bethlehem Brew Works|1|Brewpub|569 Main St., Bethlehem, Pennsylvania, 18018|http://www.thebrewworks.com/|pennsylvania|1636
Beverage Mobius Ltd.|1|ContractBrewery|PO Box 731, Charleston, South Carolina, 29482|http://www.mobiusbeer.com/|south-carolina|28207
Beverly Brewing Company, LLC|1|ContractBrewery|10448 South Seeley Ave, Chicago, Illinois, 60643|http://www.beverlybrewingco.com/|illinois|28208
Big Aloha Brewery (Sam Choy's)|1|Brewpub|580 N Nimitz Hwy, Honolulu, Hawaii, 96817|-|hawaii|28209
Big Bear Brewing Co|1|Brewpub|1800 University Dr, Coral Springs, Florida, 33071|http://www.bigbearbrewingco.com/|florida|28210
Big Bear Mountain Brewery|1|Brewpub|40260 Big Bear Blvd., Big Bear Lake, California, 92315|http://www.mountainbrewery.com/|california|4916
